transaction_id,user_id,timestamp,amount,merchant,location,device,payment_method,hour_of_day,day_of_week,failed_attempts,txn_velocity,account_age_days,avg_user_amount,amount_deviation,is_foreign_location,is_unusual_device,is_fraud
TXN000001,U0050,2024-08-20 02:42:00,281.29,Amazon,Pune,Windows,UPI,2,1,0,2,988,188.1,1.4954,0,0,0
TXN000002,U0035,2024-10-16 06:04:00,3974.57,MakeMyTrip,Chennai,iOS,Credit Card,6,2,0,2,851,2496.25,1.5922,0,0,0
TXN000003,U0277,2024-03-16 19:00:00,2370.96,Swiggy,Pune,Linux,Wallet,19,5,0,2,788,1338.17,1.7718,0,1,0
TXN000004,U0274,2024-01-14 04:00:00,404.41,MakeMyTrip,Chennai,Android,Debit Card,4,6,0,3,1259,1107.91,0.365,0,1,0
TXN000005,U0080,2024-08-03 16:07:00,8.62,Unknown_Merchant,Dubai,MacOS,Debit Card,23,5,5,8,161,150.27,0.0574,1,1,1
TXN000006,U0459,2024-04-23 19:02:00,522.57,Uber,Hyderabad,MacOS,Wallet,19,1,0,1,1672,630.4,0.8289,0,1,0
TXN000007,U0492,2024-09-02 12:27:00,152606.35,Unknown_Merchant,Dubai,MacOS,UPI,0,0,3,9,1371,4817.18,31.6796,1,1,1
TXN000008,U0465,2024-05-20 19:40:00,37534.56,Meesho,USA,Linux,Wallet,3,0,5,14,299,980.12,38.2959,1,1,1
TXN000009,U0485,2024-11-05 13:06:00,439.13,Uber,Bangalore,Windows,Wallet,13,1,0,2,648,514.73,0.8531,0,0,0
TXN000010,U0338,2024-04-26 13:21:00,879.86,Ola,Chennai,Windows,UPI,13,4,0,3,153,795.22,1.1064,0,0,0
TXN000011,U0225,2024-07-10 04:43:00,606.36,Meesho,Ahmedabad,iOS,UPI,4,2,0,1,560,684.08,0.8864,0,0,0
TXN000012,U0162,2024-07-09 04:35:00,7011.76,BookMyShow,Delhi,Linux,Debit Card,4,1,0,4,1800,2409.28,2.9103,0,1,0
TXN000013,U0210,2024-12-06 13:55:00,27470.76,BigBasket,Ahmedabad,iOS,Wallet,13,4,0,1,878,51675.11,0.5316,0,0,0
TXN000014,U0398,2024-04-18 04:42:00,3141.29,Myntra,Ahmedabad,iOS,Wallet,4,3,0,3,529,4246.59,0.7397,0,0,0
TXN000015,U0019,2024-08-07 17:49:00,518.49,Uber,Bangalore,Android,Wallet,17,2,0,3,1160,442.29,1.1723,0,0,0
TXN000016,U0202,2024-05-19 22:48:00,35299.51,Meesho,Unknown_Location,Windows,Credit Card,0,6,2,17,1655,1921.35,18.3722,1,1,1
TXN000017,U0333,2024-11-20 00:05:00,15398.37,Unknown_Merchant,USA,iOS,Net Banking,3,2,3,10,1250,1182.99,13.0165,1,1,1
